Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Brand,Dosage Form,Manufacturing Site,First Line Designation,Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),scheduled_year,scheduled_month,scheduled_quarter,delay_days,delayed
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,Reveal,Test kit,Ranbaxy Fine Chemicals LTD,Yes,19,551.0,13.0,780.34,2006,6,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral suspension,"Aurobindo Unit III, India",Yes,1000,6200.0,358.0,4521.5,2006,11,4,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,FCA,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,Yes,500,40000.0,171.0,1653.78,2006,8,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,Tablet,"Ranbaxy, Paonta Shahib, India",Yes,31920,127360.8,1855.0,16007.06,2006,9,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",Yes,38000,121600.0,7590.0,45450.08,2006,8,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral solution,"Aurobindo Unit III, India",Yes,416,2225.6,504.0,5920.42,2006,9,3,0,0
Zambia,PMO - US,Direct Drop,DDU,Air,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Stocrin/Sustiva,Capsule,MSD South Granville Australia,Yes,135,4374.0,328.0,,2007,1,1,0,0
Tanzania,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",Yes,16667,60834.55,1478.0,6212.41,2006,11,4,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",No,273,532.35,,,2006,12,4,0,0
Zambia,PMO - US,Direct Drop,CIP,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,ABBVIE (Abbott) St. P'burg USA,Yes,2800,115080.0,643.0,,2007,1,1,0,0
Zambia,PMO - US,Direct Drop,CIP,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,2800,115080.0,643.0,,2007,2,1,0,0
Zambia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,2500,100000.0,853.0,13569.49,2007,1,1,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,EY Laboratories,InstantCHEK,Test kit,"EY Laboratories, USA",Yes,10,850.0,,,2007,1,1,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,ARV,Adult,CIPLA LIMITED,Generic,Tablet - FDC,"Cipla, Goa, India",Yes,10000,99800.0,7416.0,64179.42,2007,2,1,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,Yes,750,60000.0,256.0,1760.32,2007,1,1,0,0
Zimbabwe,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,"BMS Meymac, France",Yes,579,14764.5,,,2007,3,1,0,0
Nigeria,PMO - US,Direct Drop,CIP,Unknown,HRDT,HIV test,ACCOUN NIGERIA LIMITED,Determine,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,Yes,1500,120000.0,,,2007,5,2,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Premier Medical Corporation Ltd.,First Response,Test kit,Premier Med. Corp Ltd. India,Yes,2000,33000.0,710.0,3120.7,2007,3,1,0,0
Tanzania,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Powder for oral solution,"BMS Meymac, France",Yes,712,8964.08,162.0,912.96,2007,6,2,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Abbott GmbH & Co. KG,Determine,Test kit,ABBVIE GmbH & Co.KG Wiesbaden,Yes,1000,80000.0,341.0,2682.47,2007,6,2,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,7500,202500.0,2278.0,15893.71,2007,6,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Tablet,"BMS Meymac, France",Yes,5513,140581.5,2126.0,,2007,10,4,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Oral suspension,"Aurobindo Unit III, India",Yes,1000,1920.0,941.0,4193.49,2007,10,4,0,0
Vietnam,PMO - US,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,500,41095.0,117.0,1767.38,2007,8,3,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,750,53992.5,171.0,3518.38,2007,8,3,8,1
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,25,8750.0,60.0,3097.85,2007,8,3,0,0
Tanzania,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,"Standard Diagnostics, Korea",Yes,10000,200000.0,3335.0,27869.74,2007,10,4,0,0
Tanzania,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,"Standard Diagnostics, Korea",Yes,10000,200000.0,3335.0,28461.1,2007,11,4,0,0
Tanzania,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,"Standard Diagnostics, Korea",Yes,10000,200000.0,3335.0,28359.8,2007,11,4,0,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",Yes,64000,99200.0,4228.0,12237.61,2007,11,4,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,10000,270000.0,3263.0,20885.78,2007,10,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Retrovir,Oral solution,GSK Mississauga (Canada),Yes,40,317.6,,,2008,1,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Viread,Tablet,Gilead(Nycomed) Oranienburg DE,Yes,1000,17000.0,76.0,2282.57,2008,1,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,Tablet,"Ranbaxy, Paonta Shahib, India",Yes,400,3352.0,23.0,2149.05,2008,1,1,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,Yes,1500,15.0,99.0,0.75,2008,1,1,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,Yes,650,6.5,,,2008,2,1,0,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Zerit,Powder for oral solution,"BMS Meymac, France",Yes,200,340.0,,,2008,1,1,-17,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,2,278.0,,,2008,2,1,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),Genie,Test kit,Bio-Rad Laboratories,Yes,476,36176.0,509.0,5446.51,2008,6,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Standard Diagnostics, Inc.",Bioline,Test kit,"Standard Diagnostics, Korea",Yes,659,13180.0,206.0,2656.12,2009,3,1,0,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,Yes,240,2.4,,,2008,4,2,-8,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,Yes,213,2.13,14.0,360.0,2008,7,3,0,0
Ethiopia,PMO - US,Direct Drop,DDP,Unknown,HRDT,HIV test,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Capillus,Test kit,"Trinity Biotech, Plc",Yes,63,13399.25,,,2008,3,1,0,0
Zimbabwe,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,1634,117631.66,373.0,4112.46,2008,11,4,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,1425,38475.0,483.0,5468.88,2008,4,2,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,142,10222.58,33.0,1715.17,2008,6,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,8400,96432.0,654.0,4051.34,2008,6,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Invirase,Capsule,Roche Basel,Yes,6,405.06,,,2008,4,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",No,600,870.0,,,2008,4,2,0,0
Vietnam,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,400,2800.0,81.0,2211.05,2008,7,3,0,0
